DMY	HMS	LAT	LON	CONDUCTIVITY	SALINITY	OCEAN.TEMP	BULK.RED	STREAM.PRESSURE	FILTER.PRESSURE	MACHINE.TEMP	Xaccel	Yaccel	Zaccel	MILLISECOND.TIMER	LASER.POWER	EVENT.RATE	FLOW.METER	position	NULL.	NULL..1	NULL..2	time	day	file
NA	NA	47.296117	-122.543432	NA	NA	NA	18.5763	12.04	NA	NA	0	0	0	90843844	0	-1	5.26	"171628.000,4717.7670,N,12232.6059,W"	0	0	0	11/8/2009 17:18	2010_365	309
NA	NA	47.30216	-122.547403	NA	NA	NA	19.3641	12.05	NA	NA	0	0	0	91023911	0	-1	5.28	"171935.000,4718.1296,N,12232.8442,W"	0	0	0	11/8/2009 17:21	2010_365	310
NA	NA	47.307598	-122.553087	NA	NA	NA	22.1395	12.02	NA	NA	0	0	0	91203773	0	-1	5.29	"172225.000,4718.4559,N,12233.1852,W"	0	0	0	11/8/2009 17:24	2010_365	311
NA	NA	47.313992	-122.558548	NA	NA	NA	22.7535	12	NA	NA	0	0	0	91383930	0	-1	5.29	"172537.000,4718.8395,N,12233.5129,W"	0	0	0	11/8/2009 17:27	2010_365	312
NA	NA	47.319938	-122.556633	NA	NA	NA	19.6091	12.01	NA	NA	0	0	0	91564063	0	-1	5.29	"172819.000,4719.1963,N,12233.3980,W"	0	0	0	11/8/2009 17:30	2010_365	313
NA	NA	47.327875	-122.553718	NA	NA	NA	17.8128	11.99	NA	NA	0	0	0	91744123	0	-1	5.3	"173135.000,4719.6725,N,12233.2231,W"	0	0	0	11/8/2009 17:33	2010_365	314
NA	NA	47.335442	-122.549972	NA	NA	NA	19.3628	12	NA	NA	0	0	0	91924458	0	-1	5.3	"173437.000,4720.1265,N,12232.9983,W"	0	0	0	11/8/2009 17:36	2010_365	315
NA	NA	47.342482	-122.546545	NA	NA	NA	19.0047	12.01	NA	NA	0	0	0	92104489	0	-1	5.3	"173719.000,4720.5489,N,12232.7927,W"	0	0	0	11/8/2009 17:39	2010_365	316
NA	NA	47.350373	-122.541897	NA	NA	NA	18.6619	11.98	NA	NA	0	0	0	92284311	0	-1	5.3	"174028.000,4721.0224,N,12232.5138,W"	0	0	0	11/8/2009 17:42	2010_365	317
NA	NA	47.358057	-122.537538	NA	NA	NA	19.0457	12.01	NA	NA	0	0	0	92464605	0	-1	5.3	"174329.000,4721.4834,N,12232.2523,W"	0	0	0	11/8/2009 17:45	2010_365	318
NA	NA	47.365893	-122.533633	NA	NA	NA	19.4235	12.05	NA	NA	0	0	0	92644425	0	-1	5.3	"174629.000,4721.9536,N,12232.0180,W"	0	0	0	11/8/2009 17:48	2010_365	319
NA	NA	47.374063	-122.529408	NA	NA	NA	19.0418	12.03	NA	NA	0	0	0	92824355	0	-1	5.3	"174930.000,4722.4438,N,12231.7645,W"	0	0	0	11/8/2009 17:51	2010_365	320
NA	NA	47.382502	-122.531312	NA	NA	NA	19.1906	12.02	NA	NA	0	0	0	93004815	0	-1	5.3	"175230.000,4722.9501,N,12231.8787,W"	0	0	0	11/8/2009 17:54	2010_365	321
NA	NA	47.390028	-122.535483	NA	NA	NA	19.288	12.04	NA	NA	0	0	0	93184513	0	-1	5.3	"175520.000,4723.4017,N,12232.1290,W"	0	0	0	11/8/2009 17:57	2010_365	322
NA	NA	47.398337	-122.535725	NA	NA	NA	18.8955	12.03	NA	NA	0	0	0	93364786	0	-1	5.3	"175822.000,4723.9002,N,12232.1435,W"	0	0	0	11/8/2009 18:00	2010_365	323
NA	NA	47.406395	-122.532345	NA	NA	NA	19.4494	12.02	NA	NA	0	0	0	93544637	0	-1	5.3	"180117.000,4724.3837,N,12231.9407,W"	0	0	0	11/8/2009 18:03	2010_365	324
NA	NA	47.41397	-122.527547	NA	NA	NA	19.2457	12.04	NA	NA	0	0	0	93724972	0	-1	5.3	"180417.000,4724.8382,N,12231.6528,W"	0	0	0	11/8/2009 18:06	2010_365	325
NA	NA	47.417107	-122.528752	NA	NA	NA	19.2094	12.04	NA	NA	0	0	0	93904929	0	-1	5.3	"180724.000,4725.0264,N,12231.7251,W"	0	0	0	11/8/2009 18:09	2010_365	326
NA	NA	47.416667	-122.528752	NA	NA	NA	18.8974	12.04	NA	NA	0	0	0	94084958	0	-1	5.3	"181000.000,4725.0000,N,12231.7251,W"	0	0	0	11/8/2009 18:12	2010_365	327
