day	file	pop	resamp	time	lat	long	flow	bluk_red	salinity	temperature	event_rate	fluorescence	evt	opp	n	conc	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	fsc_small_sd	fsc_perp_sd	fsc_big_sd	pe_sd	chl_small_sd	chl_big_sd
2009_313	1	ultra	1	2009-11-09 00:08:24	48.01491	-122.6141	2475.607	20.486	NA	NA	2893	5.31	578432	25320	708	2.1666	31720.2	29859.4	0	1454.8	34476.2	20552.2	2457.2	2441.8	0	4078.5	3255.8	3491.5
2009_313	1	synecho	1	2009-11-09 00:08:24	48.01491	-122.6141	2475.607	20.486	NA	NA	2893	5.31	578432	25320	372	1.1384	22177.3	20710.7	0	20135.5	22203.9	12122.1	6183.2	5961.7	0	3932.7	3834.1	3621.8
2009_313	1	beads	1	2009-11-09 00:08:24	48.01491	-122.6141	2475.607	20.486	NA	NA	2893	5.31	578432	25320	540	1.6525	35585.6	34106.3	0	42836.4	20736.9	10686.6	961	708.2	0	1382.6	2342.6	3470.1
2009_313	4	nano	2,3,4,5,6	2009-11-09 00:17:24	48.04659	-122.62666	2475.456	20.157	NA	NA	3269.886	5.31	584710.56	27295.15	351	0.2011	45460.9	42947.6	0	5023.9	51303.8	34942.5	2516	3047.1	0	10480.8	3397.2	2930.2
2009_313	2	synecho	2	2009-11-09 00:11:24	48.02425	-122.62065	2473.903	20.538	NA	NA	3171	5.31	568064	27476	389	1.092	22614.2	21193.6	0	20230.4	22241.9	11823.5	6606.9	6563.8	0	3957.3	3844	3896.7
2009_313	2	ultra	2	2009-11-09 00:11:24	48.02425	-122.62065	2473.903	20.538	NA	NA	3171	5.31	568064	27476	707	1.9846	31808.8	29899.8	0	1266.3	34434.9	20333.1	2429.8	2446.2	0	3347.4	3359.8	3561.1
2009_313	2	beads	2	2009-11-09 00:11:24	48.02425	-122.62065	2473.903	20.538	NA	NA	3171	5.31	568064	27476	3153	8.8507	35235.1	34036.6	0	43449.3	21419.6	11449.1	620.5	343.3	0	498.2	1927.9	3285.7
2009_313	4.83	beads	3,4,5	2009-11-09 00:19:52	48.05571	-122.629	2476.168	19.883	NA	NA	3203.312	5.31	571627.62	26901.15	735	0.7017	36291.9	34151.8	0	43799.9	21617.7	11613.1	714	527.1	0	394.1	1890.4	3199.1
2009_313	3	ultra	3	2009-11-09 00:14:24	48.03554	-122.6239	2476.458	20.369	NA	NA	3404	5.31	608512	27260	677	2.025	32321.5	29842	0	1544.6	34432.4	20436.1	2485.3	2557	0	3879.8	3190.1	3262.7
2009_313	3	synecho	3	2009-11-09 00:14:24	48.03554	-122.6239	2476.458	20.369	NA	NA	3404	5.31	608512	27260	441	1.3191	23654.5	21505.8	0	21036.3	22787.8	12157	6459.3	6176.5	0	3807	3894.7	3943.3
